,reservoir storage
2005-03-13,381884627.5107964
2005-03-14,381948196.8316727
2005-03-15,381879044.0475162
2005-03-16,381968807.06801015
2005-03-17,381994688.52262884
2005-03-18,381905248.4592123
2005-03-19,381915819.9272022
2005-03-20,381887876.65395373
2005-03-21,381959968.6544429
2005-03-22,381885716.383296
2005-03-23,381919631.07760525
2005-03-24,381885096.93552077
2005-03-25,381933214.84092194
2005-03-26,381894387.0718563
2005-03-27,381939752.2836838
2005-03-28,381878763.03501165
2005-03-29,381950469.7722845
2005-03-30,381977452.5445681
2005-03-31,381960625.63659304
2005-04-01,381946138.018258
2005-04-02,381995134.0521876
2005-04-03,381956820.423606
2005-04-04,381899331.48128974
2005-04-05,381993704.8505959
2005-04-06,381987046.3508198
2005-04-07,381903905.8201032
2005-04-08,381886261.4511845
2005-04-09,381938188.40124077
2005-04-10,381878758.554309
2005-04-11,381889221.32538766
2005-04-12,381985364.4864787
2005-04-13,381964927.5530457
2005-04-14,381992186.4835351
2005-04-15,381977840.0017992
2005-04-16,381876345.0402713
2005-04-17,381902329.2452899
2005-04-18,381922874.79865736
2005-04-19,381910049.070324
2005-04-20,381896080.668244
2005-04-21,381909923.5124485
2005-04-22,381876471.7845419
2005-04-23,381909194.46959984
2005-04-24,381972983.48438674
2005-04-25,381886362.3442414
2005-04-26,381913011.8664035
2005-04-27,381992168.46522623
2005-04-28,381895626.62092406
2005-04-29,381962573.77071005
2005-04-30,381890604.8728695
2005-05-01,381903086.18120044
2005-05-02,381880629.6005774
2005-05-03,381967765.21132815
2005-05-04,381881269.29866815
2005-05-05,381919560.5549738
2005-05-06,381882113.75940937
2005-05-07,381952003.5371216
2005-05-08,381961861.96480215
2005-05-09,381994711.43552864
2005-05-10,381902663.8642806
2005-05-11,381982175.79939145
2005-05-12,381940540.4105873
2005-05-13,381926860.0333012
2005-05-14,381951544.2442775
2005-05-15,381953920.7095793
2005-05-16,381886367.5419051
2005-05-17,381878155.82880795
2005-05-18,381928573.4732373
2005-05-19,381916706.44693124
2005-05-20,381893164.41435015
2005-05-21,381924504.4816727
2005-05-22,381877863.9352981
2005-05-23,381877306.4513459
2005-05-24,381973096.8181322
2005-05-25,381928724.8404324
2005-05-26,381988029.85352504
2005-05-27,381934771.66831625
2005-05-28,381933944.51235884
2005-05-29,381893102.95269334
2005-05-30,381971798.2204567
2005-05-31,381945637.95904577
2005-06-01,381978787.78783
