,discharge
2005-04-14,11.904625185258185
2005-04-15,12.692824853348544
2005-04-16,13.901176619885096
2005-04-17,14.375505464303712
2005-04-18,14.10870021408073
2005-04-19,13.639687576751577
2005-04-20,13.790196981909359
2005-04-21,12.905258710286336
2005-04-22,12.160685851110934
2005-04-23,11.325431213865942
2005-04-24,10.868994910172608
2005-04-25,11.190016820491884
2005-04-26,12.58557498266186
2005-04-27,12.783594715358497
2005-04-28,12.334887246569636
2005-04-29,12.315276939597961
2005-04-30,10.919601445012303
2005-05-01,10.757099577786255
2005-05-02,10.683039793431362
2005-05-03,9.865233150139899
2005-05-04,9.826627678221037
2005-05-05,10.958225553573865
2005-05-06,10.803386764023305
2005-05-07,12.373088298615224
2005-05-08,13.384279670959945
2005-05-09,14.307247078207247
2005-05-10,12.929522594319446
2005-05-11,13.219406114616529
2005-05-12,12.826497369381004
2005-05-13,13.27848713327718
2005-05-14,13.86722187420192
2005-05-15,12.899381277729724
2005-05-16,12.243672390129392
2005-05-17,10.619460067612907
2005-05-18,10.540375271899963
2005-05-19,11.180029462908935
2005-05-20,11.71059964049767
2005-05-21,11.516045076628147
2005-05-22,10.46263771933509
2005-05-23,9.558117087088505
2005-05-24,8.570643145767276
2005-05-25,7.770392579380097
2005-05-26,10.048976540408406
2005-05-27,11.008288412667612
2005-05-28,11.045431240877418
2005-05-29,10.001837344599263
2005-05-30,9.762821693956132
2005-05-31,9.318352223381288
2005-06-01,10.619783936317502
2005-06-02,6.758010855968441
2005-06-03,2.7490036606129418
2005-06-04,1.7036255876769772
2005-06-05,1.4344735900316965
2005-06-06,1.4833114344234415
2005-06-07,1.5137361999858105
2005-06-08,1.5732928410930966
2005-06-09,1.668698638653802
2005-06-10,1.7309970709516305
2005-06-11,1.771826150450097
2005-06-12,1.7938173138968345
2005-06-13,1.8230613851748665
2005-06-14,1.7430207105209428
2005-06-15,1.740318786614088
2005-06-16,1.8069088658355872
2005-06-17,1.8970594887851553
2005-06-18,1.9709247910454761
2005-06-19,2.045014010478965
2005-06-20,1.998270704029894
2005-06-21,1.949530877631115
2005-06-22,2.004314969874323
2005-06-23,2.237746888814017
2005-06-24,2.270478618934473
2005-06-25,2.228230202111547
2005-06-26,2.237251032944342
2005-06-27,2.313634811643856
2005-06-28,2.3340543363760085
2005-06-29,2.4323375212221263
2005-06-30,2.411631816442276
2005-07-01,2.2993363723731046
2005-07-02,2.3450891798087974
2005-07-03,2.420778311802421
2005-07-04,2.417818218489493
2005-07-05,2.4182558532137386
2005-07-06,2.3485454504471215
2005-07-07,2.15117645393156
2005-07-08,1.9813801460271607
2005-07-09,1.942209919426276
2005-07-10,1.955195820431617
2005-07-11,1.9853507028681336
2005-07-12,1.936714052843362
2005-07-13,1.894301324097577
2005-07-14,1.8151221595286882
2005-07-15,1.7626664436396153
2005-07-16,1.7020284413530824
2005-07-17,1.6153819361334683
2005-07-18,1.4298763343425573
2005-07-19,1.4954324362029265
2005-07-20,1.455208813828945
2005-07-21,1.4662991731439758
2005-07-22,1.3324100841471411
2005-07-23,1.354655530904251
2005-07-24,1.2653951674766595
2005-07-25,1.385216129053581
2005-07-26,1.2805622509776091
2005-07-27,1.3448852571253522
2005-07-28,1.2438077903666807
2005-07-29,1.207176627497517
2005-07-30,1.0686121282767143
2005-07-31,1.1150483140257197
2005-08-01,0.9635277263355427
2005-08-02,1.076088681895814
2005-08-03,0.9706548130955949
2005-08-04,0.9965411392928465
2005-08-05,0.925177081420396
2005-08-06,1.0422400472603357
2005-08-07,0.9177831879911085
2005-08-08,1.0470522719486457
2005-08-09,0.9671068974901963
2005-08-10,0.9390461539013117
2005-08-11,0.8291467096146772
2005-08-12,0.9090299977630455
2005-08-13,0.7531704104791985
2005-08-14,0.7313496489568102
2005-08-15,0.730967820331905
2005-08-16,0.7161792867890098
2005-08-17,0.6726008773146254
2005-08-18,0.7571399519158554
2005-08-19,0.6422358806497076
2005-08-20,0.719158275207261
2005-08-21,0.6373119101335215
2005-08-22,0.7133129182423387
2005-08-23,0.6386736392692012
2005-08-24,0.6877682164576935
2005-08-25,0.6540508448514804
2005-08-26,0.6957619695335275
2005-08-27,0.6119894914316935
2005-08-28,0.7109859108209602
2005-08-29,0.6017309613259383
2005-08-30,0.6799819853869793
2005-08-31,0.6326088663788506
2005-09-01,0.6365875612175015
2005-09-02,0.6329684296026419
2005-09-03,0.6687885152100065
2005-09-04,0.6283408812528349
2005-09-05,0.6715981784936745
2005-09-06,0.6060525927246662
2005-09-07,0.6567945839750984
2005-09-08,0.6257891513562844
2005-09-09,0.6580891924191933
2005-09-10,0.6343218760829368
2005-09-11,0.645849066620643
2005-09-12,0.6197946557179022
2005-09-13,0.625619689183346
2005-09-14,0.5827051520288162
2005-09-15,0.6220077900596944
2005-09-16,0.5733012161103312
2005-09-17,0.643856522628659
2005-09-18,0.6470987652136819
2005-09-19,0.733879480099774
2005-09-20,0.781234210160698
2005-09-21,0.7152602416918847
2005-09-22,0.6279098147426206
2005-09-23,0.6285757657818841
2005-09-24,0.6085558449646673
2005-09-25,0.6044337839340748
2005-09-26,0.5718295613528641
2005-09-27,0.6128110433889795
2005-09-28,0.558995341406247
2005-09-29,0.6401403137115008
2005-09-30,0.6498614438882926
2005-10-01,0.8022427929766573
2005-10-02,0.8890176078549897
2005-10-03,1.3816077134308242
2005-10-04,1.9435731675251724
2005-10-05,2.0196653679125367
2005-10-06,1.779433319244119
2005-10-07,1.4600359922884412
2005-10-08,1.1145625029090975
2005-10-09,1.1756593039992704
2005-10-10,1.0010182594771866
2005-10-11,1.0454360884488572
2005-10-12,1.20301372836747
2005-10-13,1.6247260635389873
2005-10-14,1.8651454626859536
2005-10-15,1.993882569174791
2005-10-16,2.0995247943357604
2005-10-17,2.3386268099540786
2005-10-18,2.2989250170812117
2005-10-19,2.1121209436011346
2005-10-20,2.034373694624944
2005-10-21,2.258989845357124
2005-10-22,2.2670616464428095
2005-10-23,2.106140251117785
2005-10-24,1.9700704101402955
2005-10-25,2.0976253415270714
2005-10-26,2.1655608619893907
2005-10-27,1.9624787940408577
2005-10-28,1.5933975347163971
2005-10-29,1.4211882070638946
2005-10-30,1.3626842460256956
2005-10-31,1.9570546451648516
2005-11-01,2.5125174976981994
2005-11-02,2.5610915165499635
2005-11-03,2.495607232776117
2005-11-04,2.436209246451933
2005-11-05,2.378535115323449
2005-11-06,2.2655968230177495
2005-11-07,2.0932154993500824
2005-11-08,2.1066005282953073
2005-11-09,2.2133532936863927
2005-11-10,2.2577228232055524
2005-11-11,2.278237099285575
2005-11-12,2.2261752535716286
2005-11-13,2.2268236413435236
2005-11-14,2.1859935698006026
2005-11-15,2.001215194757046
2005-11-16,1.8901903693412818
2005-11-17,1.987633719881098
2005-11-18,2.0987883620075896
2005-11-19,2.1375324627636876
2005-11-20,2.0842183337497313
2005-11-21,2.086301210856792
2005-11-22,1.9324678028092015
